Name,BSE Code,NSE Code,Industry Group,Industry
A C J K Exports,544743,AMIRCHAND,,
Powerica Ltd,544744,POWERICA,,
Highness Microelectronics,544741,,,
Vivid Electromech,,,,
Emiac Technologies,,,,
Sai Parenteral's,544742,SAIPARENT,,
Safety Controls,,,,
E & E Enterprises,501386,,Finance,Other Financial Services
Rajvi Logitrade,511185,,Transport Services,Logistics Solution Provider
Indo Credit Cap.,526887,,Finance,Non Banking Financial Company (NBFC)
Harmony Capital,530055,,Commercial Services & Supplies,Diversified Commercial Services
Axis Solution,511144,,IT - Software,Computers - Software & Consulting
Apollo Ingredie.,503639,,Commercial Services & Supplies,Diversified Commercial Services
Magnus Steel,517320,,Electrical Equipment,Other Electrical Equipment
Onix Solar,513119,,Non - Ferrous Metals,Copper
Steelco Gujarat,500399,,Industrial Products,Iron & Steel Products
Shiva Suitings,521003,,Commercial Services & Supplies,Trading & Distributors
Sanmitra Commerc,512062,,Commercial Services & Supplies,Diversified Commercial Services
New Markets Advi,508867,,IT - Software,Software Products
Purity Flex Pack,523315,,"Paper, Forest & Jute Products",Paper & Paper Products
Kartik Invest.,501151,,Finance,Other Financial Services
Kovalam Investm.,505585,,Commercial Services & Supplies,Diversified Commercial Services
Omansh Enterpri.,538537,,Commercial Services & Supplies,Trading & Distributors
India Radiators,505100,,Auto Components,Auto Components & Equipments
Indo Gulf Inds.,506945,,Chemicals & Petrochemicals,Specialty Chemicals
Oswal Leasing,509099,,Commercial Services & Supplies,Diversified Commercial Services
Mrugesh Trading,512065,,Finance,Non Banking Financial Company (NBFC)
Grand Foundry,513343,GFSTEELS,Industrial Products,Iron & Steel Products
Surbhi Industrie,514260,,Textiles & Apparels,Other Textile Products
Modern Malleable,517336,,Industrial Products,Iron & Steel Products
TMT (I),522171,,Industrial Manufacturing,Industrial Products
Revati Media,524504,,Commercial Services & Supplies,Trading & Distributors
Bijoy Hans,524723,,Commercial Services & Supplies,Trading & Distributors
Shamrock Indl.,531240,,Commercial Services & Supplies,Trading & Distributors
B J Duplex Board,531647,,"Paper, Forest & Jute Products",Paper & Paper Products
Frontline Fin.,531685,,Commercial Services & Supplies,Diversified Commercial Services
Asia Capital,538777,,Finance,Non Banking Financial Company (NBFC)
Chemiesynth(Vapi,539230,,Chemicals & Petrochemicals,Specialty Chemicals
Jyotirgamya Ent.,539246,,Commercial Services & Supplies,Trading & Distributors
Titan Biotech,524717,,Chemicals & Petrochemicals,Specialty Chemicals
Unipro Technolgy,540189,,IT - Services,IT Enabled Services
Parmeshwari Silk,540467,,Textiles & Apparels,Other Textile Products
Shree Salasar,503635,,Finance,Other Financial Services
Alka India,530889,,Textiles & Apparels,Other Textile Products
Hi-Klass Trading,542332,,Finance,Other Financial Services
Gleam Up Jwel Limiteed,542477,,Commercial Services & Supplies,Trading & Distributors
Roopshri Resorts,542599,,Leisure Services,Hotels & Resorts
Ushanti Colour,,UCL,Chemicals & Petrochemicals,Dyes And Pigments
Kalind,526935,,Commercial Services & Supplies,Diversified Commercial Services
National High,543385,NHIT,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
B-Right Real,543543,,Realty,"Residential, Commercial Projects"
Moxsh Overseas,,MOXSH,Other Consumer Services,Education
Maple Inf. Trust,543925,,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
Cube Highways,543899,CUBEINVIT,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
Sustainable Ener,,SEITINVIT,Power,Power Generation
Avax Apparels,544337,,Textiles & Apparels,Other Textile Products
Hannah Joseph,544687,,Healthcare Services,Hospital
Covance Softsol,544361,,IT - Software,Computers - Software & Consulting
Apt Packaging,506979,,Industrial Products,Packaging
Gretex Industrie,,GRETEX,Entertainment,Media & Entertainment
Fundviser Capit.,530197,,Finance,Investment Company
Stellant Secu.,526071,,Finance,Other Financial Services
Anzen IYEP Trust,543655,ANZEN,Power,Power - Transmission
CCL Products,519600,CCL,Agricultural Food & other Products,Tea & Coffee
Accent Microcell,,ACCENTMIC,Pharmaceuticals & Biotechnology,Pharmaceuticals
Sizemasters Tech,513496,,Non - Ferrous Metals,Zinc
Ecoboard Inds.,523732,,Consumer Durables,Plywood Boards/ Laminates
M B Agro Prod.,,MBAPL,Fertilizers & Agrochemicals,Fertilizers
Vilin Bio Med,,VILINBIO,Pharmaceuticals & Biotechnology,Pharmaceuticals
Yaap Digital,,YAAP,Media,Advertising & Media Agencies
Aar Shyam (I),542377,,Finance,Non Banking Financial Company (NBFC)
Guj. Inject(Ker),524238,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Focus Business,543312,,IT - Software,Computers - Software & Consulting
Speciality Medi.,544738,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Sancode Tech.,543897,,IT - Services,IT Enabled Services
V R Woodart,523888,,Auto Components,Tyres & Rubber Products
Mega Flex Plast.,,MEGAFLEX,Industrial Products,Packaging
Hoac Foods,,HOACFOODS,Food Products,Other Food Products
Prizor Viztech,,PRIZOR,Industrial Manufacturing,Industrial Products
Divine Hira Jew.,,DIVINEHIRA,Consumer Durables,"Gems, Jewellery And Watches"
Novus Loyalty,544735,,Media,Web based media and service
Excellent Wires,,EXCELLENT,Industrial Products,Other Industrial Products
EMA India,522027,,Industrial Manufacturing,Industrial Products
Rex Pipes&Cables,,REXPIPES,Industrial Products,Plastic Products - Industrial
Aayush Art,540718,,Textiles & Apparels,Other Textile Products
Rajputana Stain.,544731,RSL,Industrial Products,Iron & Steel Products
PropsharePlatina,544295,,,
Integ. Proteins,519606,,Agricultural Food & other Products,Edible Oil
Hitachi Energy,543187,POWERINDIA,Electrical Equipment,Heavy Electrical Equipment
Elfin Agro India,544724,,Food Products,Other Food Products
Anand Rathi Wea.,543415,ANANDRATHI,Capital Markets,Financial Products Distributor
Axentra Corp,511634,,Construction,Civil Construction
Unihealth Hosp,,UNIHEALTH,Healthcare Services,Hospital
Seshachal Tech.,531794,,IT - Software,Software Products
Bliss GVS Pharma,506197,BLISSGVS,Pharmaceuticals & Biotechnology,Pharmaceuticals
PropshareTitania,544462,,Realty,Real Estate Investment Trusts (REITs)
Simandhar Impex,544662,,Consumer Durables,"Gems, Jewellery And Watches"
Vertis Infra.,,VERTIS,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
KMG Milk Food,519415,,Food Products,Packaged Foods
Mahickra Chem.,,MAHICKRA,Chemicals & Petrochemicals,Dyes And Pigments
Altius Telecom,543225,,Telecom - Services,Telecom - Infrastructure
Futuristic Sec.,523113,,Finance,Non Banking Financial Company (NBFC)
Rapid Multimodal,544237,,Transport Services,Logistics Solution Provider
Divine Power,,DPEL,Industrial Products,Cables - Electricals
KMS Medisurgi,540468,,Healthcare Equipment & Supplies,Medical Equipment & Supplies
Maruti Interior,543464,,Consumer Durables,Houseware
Venus Remedies,526953,VENUSREM,Pharmaceuticals & Biotechnology,Pharmaceuticals
Godawari Power,532734,GPIL,Industrial Products,Iron & Steel Products
Prime Focus,532748,PFOCUS,Entertainment,Media & Entertainment
Iykot Hitech,522245,,Industrial Manufacturing,Industrial Products
Manilam Industries,,MANILAM,Consumer Durables,Plywood Boards/ Laminates
Omnitex Industri,514324,,Textiles & Apparels,Other Textile Products
GRE Renew,544682,,Construction,Civil Construction
Shankara Buildpro,544517,BUILDPRO,Retailing,Speciality Retail
Indus Inf. Trust,544137,INDUSINVIT,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
Belrise Industri,544405,BELRISE,Auto Components,Auto Components & Equipments
Sedemac Mechatro,544723,SEDEMAC,Auto Components,Auto Components & Equipments
ANB Metal,,AMCL,Industrial Products,"Aluminium, Copper & Zinc Products"
Aptus Pharma,544529,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Lupin,500257,LUPIN,Pharmaceuticals & Biotechnology,Pharmaceuticals
D & H India,517514,,Industrial Manufacturing,Industrial Products
Dharni Capital,543753,,Capital Markets,Financial Products Distributor
Typhoon Fin Ser,539468,,Finance,Non Banking Financial Company (NBFC)
Satani Bearings,505703,,Industrial Manufacturing,Industrial Products
Atlanta Electric,544527,ATLANTAELE,Electrical Equipment,Heavy Electrical Equipment
Fractal Industries,544707,,Textiles & Apparels,Garments & Apparels
Pramara Promotio,,PRAMARA,Media,Advertising & Media Agencies
Aanchal Ispat,538812,,Industrial Products,Iron & Steel Products
Ather Energy,544397,ATHERENERG,Automobiles,2/3 Wheelers
Ambassador Intra,542524,,Commercial Services & Supplies,Trading & Distributors
Milton Industri.,,MILTON,Consumer Durables,Plywood Boards/ Laminates
G-Tech Info.,532139,,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Harig Crankshaft,500178,,Auto Components,Auto Components & Equipments
Sobhagya Mercant,512014,,Commercial Services & Supplies,Diversified Commercial Services
Strides Pharma,532531,STAR,Pharmaceuticals & Biotechnology,Pharmaceuticals
Bhavik Enterpris,544551,,Chemicals & Petrochemicals,Trading - Chemicals
Park Medi World,544645,PARKHOSPS,Healthcare Services,Hospital
IndiGrid Trust,540565,INDIGRID,Power,Power - Transmission
Cospower Engine.,543172,,Industrial Manufacturing,Industrial Products
Titan Company,500114,TITAN,Consumer Durables,"Gems, Jewellery And Watches"
Callista Indus.,539335,,Commercial Services & Supplies,Trading & Distributors
Norben Tea,519528,NORBTEAEXP,Agricultural Food & other Products,Tea & Coffee
Gautam Exim,540613,,Commercial Services & Supplies,Trading & Distributors
Kapston Services,,KAPSTON,Commercial Services & Supplies,Diversified Commercial Services
Retaggio Indust.,544391,,Consumer Durables,"Gems, Jewellery And Watches"
Marico,531642,MARICO,Agricultural Food & other Products,Edible Oil
GE Shipping Co,500620,GESHIP,Transport Services,Shipping
Ratnabhumi Dev.,540796,,Realty,"Residential, Commercial Projects"
TD Power Systems,533553,TDPOWERSYS,Electrical Equipment,Heavy Electrical Equipment
Cummins India,500480,CUMMINSIND,Industrial Products,"Compressors, Pumps & Diesel Engines"
Titan Securities,530045,,Finance,Non Banking Financial Company (NBFC)
Natl. Aluminium,532234,NATIONALUM,Non - Ferrous Metals,Aluminium
